run_id,round,target_idx,target_x,target_y,target_yaw,final_x,final_y,final_yaw,position_error_m,yaw_error_rad,duration_s,result,passed
1,1,1,1.0,0.0,0.0,0.9506,0.0,0.0,0.0494,0.0,3.125,SUCCESS,1
2,1,2,1.0,0.5,0.0,0.9966,0.4506,0.0,0.0495,0.0,2.24,SUCCESS,1
3,1,3,1.0,0.5,1.5708,0.9997,0.4963,1.4844,0.0037,0.0864,2.178,SUCCESS,1
4,1,4,0.2,0.2,-1.5708,0.2193,0.2088,-1.485,0.0212,0.0858,3.42,SUCCESS,1
5,1,5,0.0,0.0,0.0,0.0212,0.0186,-0.0844,0.0282,0.0844,2.119,SUCCESS,1
6,2,1,1.0,0.0,0.0,0.9501,0.0016,-0.0003,0.0499,0.0003,3.079,SUCCESS,1
7,2,2,1.0,0.5,0.0,0.9965,0.4508,-0.0,0.0493,0.0,2.239,SUCCESS,1
8,2,3,1.0,0.5,1.5708,0.9997,0.4963,1.4845,0.0037,0.0863,2.179,SUCCESS,1
9,2,4,0.2,0.2,-1.5708,0.2193,0.2088,-1.4851,0.0212,0.0857,3.419,SUCCESS,1
10,2,5,0.0,0.0,0.0,0.0212,0.0187,-0.0845,0.0283,0.0845,2.119,SUCCESS,1
11,3,1,1.0,0.0,0.0,0.9501,0.0016,-0.0003,0.0499,0.0003,3.08,SUCCESS,1
12,3,2,1.0,0.5,0.0,0.9965,0.4509,-0.0,0.0493,0.0,2.239,SUCCESS,1
13,3,3,1.0,0.5,1.5708,0.9997,0.4963,1.4845,0.0037,0.0863,2.179,SUCCESS,1
14,3,4,0.2,0.2,-1.5708,0.2193,0.2088,-1.4849,0.0213,0.0859,3.42,SUCCESS,1
15,3,5,0.0,0.0,0.0,0.0213,0.0187,-0.0848,0.0283,0.0848,2.118,SUCCESS,1
16,4,1,1.0,0.0,0.0,0.9501,0.0016,-0.0003,0.05,0.0003,3.079,SUCCESS,1
17,4,2,1.0,0.5,0.0,0.9965,0.4508,-0.0,0.0493,0.0,2.239,SUCCESS,1
18,4,3,1.0,0.5,1.5708,0.9997,0.4963,1.4845,0.0037,0.0863,2.18,SUCCESS,1
19,4,4,0.2,0.2,-1.5708,0.2193,0.2088,-1.4849,0.0213,0.0859,3.419,SUCCESS,1
20,4,5,0.0,0.0,0.0,0.0212,0.0187,-0.0846,0.0283,0.0846,2.119,SUCCESS,1
21,5,1,1.0,0.0,0.0,0.95,0.0016,-0.0003,0.05,0.0003,3.079,SUCCESS,1
22,5,2,1.0,0.5,0.0,0.9965,0.4509,-0.0,0.0492,0.0,2.239,SUCCESS,1
23,5,3,1.0,0.5,1.5708,0.9997,0.4963,1.4845,0.0037,0.0863,2.18,SUCCESS,1
